seq_no.,module,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_string,motif_list
0,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
1,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
2,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
3,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
4,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
5,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
6,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
7,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
8,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
9,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
10,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
11,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
12,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
13,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
14,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
15,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
16,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
17,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
18,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
19,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
20,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
21,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
22,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
23,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
24,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
25,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
26,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
27,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
28,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
29,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
30,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
31,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
32,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
33,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
34,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
35,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
36,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
37,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
38,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
39,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
40,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
41,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
42,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
43,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
44,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
45,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
46,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
47,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
48,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
49,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
50,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
51,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
52,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
53,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
54,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
55,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
56,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
57,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
58,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
59,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
60,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
61,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
62,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
63,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
64,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
65,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
66,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
67,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
68,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
69,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
70,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
71,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
72,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
73,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
74,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
75,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
76,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
77,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
78,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
79,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
80,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
81,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
82,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
83,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
84,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
85,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
86,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
87,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
88,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
89,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
90,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
91,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
